视频名称,视频类型,up名字,视频简介,点赞数量,投币数,收藏数,分享数,视频链接
云顶之弈新模式新羁绊？【6典范】召唤终极大BOSS,电子竞技,我是TOO,Q群468568662 可以捉到活的UP,37727,3334,1631,6771,https://b23.tv/BV17b4y127Eh
过瘾又解馋，2碗烩菜一碗扣肉，配2个大馒头，真香,美食记录,田野上的繁荣,,41258,8965,1485,775,https://b23.tv/BV1tq4y1N7Hy
我在自己的猫咖里被绑架了？,喵星人,猫不理咖啡,嘿嘿，小老板又恰到饭了。在这里真的是谢谢你们，之前的视频如果不是你们的三连和硬币，播放量也不会那么好，人家也不可能再找我。真的是非常感谢！然后我又厚着脸皮来要硬币了，额（跪谢）,41607,11275,1945,181,https://b23.tv/BV1gL4y187mV
【SERGEY谢尔盖】封面这么大的战斧牛排！还有金针培根卷和pesto意面，脆嫩多汁香滑爽口|烹饪过程&咀嚼音助眠,美食制作,SERGEY谢尔盖,B站的朋友们，大家好！我是来自俄罗斯的SERGEY谢尔盖，很高兴能和大家在这里分享我喜爱的美食！首先声明我并不是专业的厨师，但是我有一个梦想就是制作出世界上最优秀的烹饪&吃播助眠视频！希望你们能够喜欢！非常感谢大家的支持！Bilibili干杯！,21520,9320,2536,1165,https://b23.tv/BV1XR4y1H7qJ
但凡有20树脂，我也不至于在桌子上玩原神,手办·模玩,利利那TD25,想必是全网第一个正经的原神定格动画？紧赶慢赶终于做了一期原神的，想还原很多游戏内容，留着以后继续吧，比如属性超载之类的拍了很多运动镜头，因为入手了齿轮云台，并特意租了房间供我折腾，以后会多使用的（但制作用时UPUP）======模型@阿福酱酱油  （御用模型师）涂装是我弄的，我觉得神里绫华是蓝头发就……所以怪不得阿福23333宵宫定位是旅行者所以就在发色上调整了一下能自己做模型了太好了（只是经不住定格拍摄的磨损）,102331,71951,27054,10330,https://b23.tv/BV1tQ4y1y7Jn
出现了没尾巴的领养人,喵星人,本喵叫兔兔,-,33450,2651,836,319,https://b23.tv/BV1j64y1a74v
印度人均偷电？我国逆风翻盘！开局丐配，开挂的中国电网有多牛逼？【硬核央企】【牛顿】,财经商业,牛顿顿顿,几天前，我看了一部纪录片《Powerless In India》，讲在印度坎普尔这个地方，电力长期短缺，管理极度混乱，“偷电”的现象极为猖獗。我突然一阵恍惚，看着房间里亮了半个晚上的灯，想起几个问题：在我们生活的这个地球上，还有多少亿人没用上电呢？生活在中国的你我，为什么能用上便宜且稳定的电？我们国家的电力系统到底有多牛X？,173087,95414,29537,8662,https://b23.tv/BV1AU4y1N7WS
从搞笑开始，到泪目为止,社会,谭乔,一双皮鞋带盒不到一公斤（网友查询后），粗略数了数大爷背了两百多斤（2015）,76774,46026,6984,1793,https://b23.tv/BV1LL411x7vp
这样的《水星记》，深夜一个人躲在被窝里品尝更佳！,翻唱,咻咻满,看完jason老湿的《水星记》教程，我感觉这首歌我又能行啦！原唱：郭顶翻唱：咻咻满,21784,13319,4737,587,https://b23.tv/BV1rh411p7nL
【技能解析】泰坦的技能可太有意思了,电子竞技,上单老祖,,44898,11134,6410,4036,https://b23.tv/BV1pA411F7Zy
强迫女友和我跳宅舞，一定要看完呀,搞笑,力元君,简介感谢大家的观看！喜欢的话记得点个赞哦,40750,4717,1800,300,https://b23.tv/BV1Wf4y1n71L
【网络热门动物谣言3】水熊虫是地表最强生物？世界上真的有永生的动物吗？骆驼能把自己的胃吐出来？,科学科普,黑毛羊驼,这里是简介,18746,5065,1743,170,https://b23.tv/BV1hg411c7A2
NVIDIA：RTX 40系列显卡将如期发布,数码,蒸気火鸡,NVIDIA：如期的意思就是如期,15870,3251,921,1526,https://b23.tv/BV16q4y1f7ob
“咒语不可饶恕是有原因的”,影视剪辑,Double邓,玩这款游戏，心情有点复杂，随手一剪，可能人物没有剪全，比较粗糙，还请见谅官方更新了，那我就把标题改了素材：《哈利波特》Bgm：Eutopia,18794,3675,6139,2325,https://b23.tv/BV1p44y1h7Np
我是主持人李思思，我来Ｂ站啦！,日常,主持人李思思,大家好，我是思思，很期待在这里和大家见面，分享我的生活,68158,8978,4337,1244,https://b23.tv/BV1fh411H7X2
半夜家里玩偶复活了，背后还隐藏着惊天大秘密！,单机游戏,中国BOY超级大猩猩,游戏：Noctambulant喜欢的话不妨点个赞哦！,42025,8555,5674,450,https://b23.tv/BV1sP4y1h7Wf
像极了你女朋友生气的样子,喵星人,一颗福蛋酥egg,-,22076,1544,5919,10030,https://b23.tv/BV1RM4y1G7gp
民间小伙原创自制 《永劫无间》真人版武侠短片超燃花絮,短片,朱仙影视,9月16号敬请期待，超燃真人版武侠短片《永劫无间》,77211,55235,10218,3013,https://b23.tv/BV15A411F7iZ
薯片太大没办法一口吃怎么办？,搞笑,穷哥们茉日天,wb,135577,4311,16993,20279,https://b23.tv/BV1Kf4y1P7Rr
新疆大盘鸡配方大公开！秘制酱料详细比例、学会马上去开店,美食制作,赖皮猴爱美食,如果你喜欢我的视频请帮我点个赞！谢谢大家,54434,30444,21486,3104,https://b23.tv/BV1T44y1h74w
非天才雪鸮：过河不许用魔法,野生动物,我们都是社畜,-根据《神奇的雪鸮》改编,52132,10033,9669,5021,https://b23.tv/BV1jb4y127Pj
这样的人竟然能找到老婆！我酸了🍋,美食记录,胡凯利_洞主,,55539,45531,6532,4736,https://b23.tv/BV1xA411F7Cf
这台主机塞满了童年热爱的游戏！里面的游戏现在竟然价值2万多！？,单机游戏,Q-kun,这台主机塞满了童年热爱的游戏！里面的游戏现在竟然价值2万多！？,3663,1401,1923,532,https://b23.tv/BV1wQ4y1k7oq
骗美女同事团建爬山，居然是为了做这件事情？！,日常,小缸和阿灿,三连支持社会精英顺便招聘女同事，男女不限,72888,81535,14596,2912,https://b23.tv/BV1mM4y1G722
试吃网友投出的中国七大饺子！最后一名赶上我一天工资！,美食测评,波靖仔,上榜的饺子有你的一票吗？商务合作：bojingzai111 （非本人）波靖仔工作室招募视频文案哦 （专业对口或者有工作经验优先）工作地点在：广东江门 请把简历发到这个邮箱：1329973958@qq.com 感谢大家,33626,6943,2665,272,https://b23.tv/BV1Sq4y1N7ng
为什么《云南虫谷》我看不下去了？,影视杂谈,正经的老邪,把编剧的剧本，带到塔克拉玛干沙漠，打开第一集，原地变绿洲，也太水了吧！,25072,1977,957,607,https://b23.tv/BV1Zq4y1N7t5
平淡的一天，值得高呼万岁。,美食记录,没煮熟的大鹅,-,14676,11662,1198,309,https://b23.tv/BV1ob4y127rf
【原神3D动画】御柱飞行的钟师傅,MMD·3D,炷天cartoooo,壁立千仞，而后取之一脊，附以岩力，便可翱翔九天，尘世闲游……灵感来源于那张桃白白梗图，使用maya+UE4制作模型：官方mmd绑定：自制  感谢@苏十六六六六  大佬的教程！动画：自制渲染：自制,39494,6352,12377,6957,https://b23.tv/BV1D64y1h7qX
最适合秋夜的俄式夜宵，烤肉vodka，美滋滋！| 罪恶之夜,美食侦探,食贫道,从俄罗斯回国5年，最难忘的居然是这一口……对了，假如生活欺骗了你，下一句你还记得是什么吗？,65083,51747,12943,4906,https://b23.tv/BV1QQ4y1677c
医生：“小伙子，你愿意捐献3升血吗？”,搞笑,柠檬派奇幻漂流,这个UP主还没到170W粉，现在关注就是老粉啦！,31981,3820,1705,736,https://b23.tv/BV1B341127H7
靠脸出圈！这颜值被全网追着嘲？逆天吐槽《君九龄》,影视杂谈,刘老师说电影,反向出圈最为致命！,63138,6139,3180,2381,https://b23.tv/BV1cg411c77r
"11.19世界赛版本更新介绍：剑魔W冷却减少6秒,起飞!鳄鱼W再次优化!奶妈R削弱,20位英雄改动介绍！",电子竞技,LOL小绿毛资讯,"11.19是世界赛使用的版本 国服更新时间：9.23号 还会上线新英雄：薇古丝 新皮肤黎明&黑夜 娱乐模式无限火力~LOL版本介绍,新英雄,新皮肤,等资讯消息这里都有~对联盟资讯感兴趣,欢迎关注呀~片尾BGM：电玩EZ",13061,4023,2827,1883,https://b23.tv/BV1v34y1Q7Tm
塞尔达传说！听到这段音乐我都起鸡皮疙瘩了！【MayTree五月树】,翻唱,MayTree五月树,我们用纯人声演绎了塞尔达传说的主题曲，希望大家喜欢～导演：Napkins music我们是阿卡贝拉人声组合MayTree五月树，成立于2000年。喜欢就三连加关注吧~,40434,23020,8054,4833,https://b23.tv/BV13L411x7He
一刀砍掉我半个月房租？ 极品烧肉店是有多好吃？,美食侦探,哇塞几张,餐厅：炎珀EMBER地址：安义路静安嘉里中心南区2楼S2-04号,31964,13112,2236,421,https://b23.tv/BV1Dq4y1N7ad
🤤点一份王小美打包带走,MMD·3D,再肝剁手,Music：咬人猫 - dududuModel：miHoYo/观海Motion:【动作】兰若_Ruo【表情】兰若_Ruo【镜头】兰若_RuoStage：miHoYo/KelluArtsMME：Rui_cg/ikeno/そぼろ/サンドマン/化身バレッタ,15515,3403,9037,424,https://b23.tv/BV1Hf4y1n7ow
【即将发布】50个iOS15隐藏绝技，你未必全知道！！！,软件应用,某科君,Safari浏览器扩展屏蔽弹窗贤者模式与白噪音视频倍速播放......如果感觉还不错麻烦点个赞 投个币 收个藏最期待的还是还是给我点个关注万分感谢！！！【图文版】关注我的B站账号：某科君回复：iOS15即可获取也可以通过下面的链接直接查看https://mp.weixin.qq.com/s/0BgwQsiZbVWzDXNgnB3-Ng,7934,4140,5574,1680,https://b23.tv/BV1bM4y1G7dr
【原神】16秒保姆级白嫖40原石,手机游戏,元哥zlc,这网站估计大部分兄弟看不到，我也是前几天才看到的兑换码官服可以领，签到7天后，还没给兑换码的兄弟，看我最新动态,39660,16412,42729,5014,https://b23.tv/BV1U34y1Q7fn
单机手游？买断？3D回合制？鹰角新游突击探访！,手机游戏,哔哩哔哩游戏中心,异星文字要是被破解了记得滴滴我们！顺便提前祝大家中秋快乐～游戏预约：https://www.biligame.com/detail/?id=107825,19873,934,2978,5457,https://b23.tv/BV1w341127QG
有用又有趣的网站 了解一下?,软件应用,任性的KIMKILLS,https://vm.tiktok.com/ZMRasvvcj/,58449,15045,132421,3627,https://b23.tv/BV1VQ4y1y7Hb
【龚俊】“与俊为友”三界行游录vlog,手机游戏,龚俊Simon,我在《梦幻西游三维版》三界行游的vlog来咯！和我一起云游三界吧,38734,23386,9117,2804,https://b23.tv/BV1RQ4y167RC
（这也能解说？！）史上最燃的弹珠大赛【第六弹】激烈缠斗！热血厮杀！重回巅峰？！,搞笑,Super也好君,BGM：小林未郁 - α≠a,279780,176306,50339,35073,https://b23.tv/BV1Wv411w7fA
震旦天朝正式公布！ / 全面战争: 战锤3 / Total War: WARHAMMER III,单机游戏,CA_DrDuan,https://www.youtube.com/channel/UCugJq15BiB-c1NDYPHiznWQ逆天篡命之邪念，坠于星河。天下重任，将由谁来担当？ 震旦长垣，将由谁来守护？,26624,9549,9546,23591,https://b23.tv/BV1LP4y1Y7sM
有的人只要见过一次，就是一辈子,影视剪辑,在下啵啵君,电影：那个女孩的俘虏吉沢亮 新木优子BGM：the way I still love you,84194,3845,25954,2501,https://b23.tv/BV1TP4y1Y7VF
不要点进来，会变得不幸,搞笑,聊点什么叭,《水煮大神》分类：言作者：一度君华,37776,8997,3412,1255,https://b23.tv/BV1o34y1Q72f
(掉进下水道的第一天)土木比惨大挑战。,搞笑,大猛子ym,-,12411,4924,745,2089,https://b23.tv/BV1Pv411A7qm
警察执行任务，发现村民家里有个大米缸，一掏全家死刑,影视杂谈,快看张不止,纪录片：《被“看穿”的秘密》,185082,5150,10208,1524,https://b23.tv/BV1QM4y1G7oG
景区山洞里藏着一窝险些被扑杀的小奶狗                                               流浪狗动物救助领养,汪星人,走南养老院,-,51821,38661,6047,1503,https://b23.tv/BV1Dg411F73f
我到美国教书，才知道他们其实是这样看我们中国人的,社科·法律·心理,啊Sai在纽约,-,91754,18136,8059,746,https://b23.tv/BV1iL411t7G5
【盘点】看100遍《哈利波特》，只为找到这亿个彩蛋！丨列文虎克16丨死亡圣器下③,影视杂谈,莫扎金,,35073,23183,10146,1149,https://b23.tv/BV1sP4y1Y7RQ
当你写了个BUG！但是他刚好能运行,单机游戏,酥妃大魔王,好样的！录了三天素材！剪完就剩3分钟！给个三连叭！呜呜呜！太惨了！稍微调整了一下视频节奏！视频有问题或者建议（当然也可以夸奖我欢迎评论私信告诉我！很重要！帮我变得更好！（会认真看的周末快乐！muuuuuua！,61235,10788,8401,1183,https://b23.tv/BV1544y1h79P
【屎O说】半生不走寻常路的名越稔洋！,单机游戏,STN工作室,作者：80后写稿佬简介：仅是这段故事就已经足够传奇。,18661,4345,2087,254,https://b23.tv/BV1Bb4y127Pr
iPhone13最佳入手方式汇总！纠结？选12还是13.......双十一价格预测,数码,玩客锅锅,更多实时方案会更新在我的动态。欢迎大家多多关注一下。根据频道最低价搞机教程汇总出，iPhone13的最佳入手方式，以及12和13从价格上如何选？同时也给等等党准备了双十一的观望价格！,6361,2670,1714,916,https://b23.tv/BV1wU4y1A7r2
社交超牛逼症！,日常,电锯刮腿毛,网络我想把我的好腿给截肢了，装一条闪光腿。,155289,3998,10016,2316,https://b23.tv/BV1EL4y1a76G
传统文化，实在太美啦！,人文历史,哔哩哔哩晚会,#花好月圆会# 传统文化里的宝藏数之不尽，在这里我们仅抛砖引玉，中秋之夜，B站中秋特别节目花好月圆会，携手传统文化与我们一起过节。更多花好月圆会相关信息，记得关注哔哩哔哩晚会号，后续有更多精彩内容揭秘~直播预约：https://www.bilibili.com/blackboard/dynamic/166894,10686,658,1201,207,https://b23.tv/BV1Qh411H7k7
两分钟发布会｜2021苹果新品发布 经典再续 5999起iPhone 13 | 加量不加价,数码,科技美学,两分钟发布会｜2021苹果新品发布 经典再续 5999起iPhone 13 | 加量不加价,16287,2037,913,1144,https://b23.tv/BV1ih411p7W6
重庆解放碑神级老字号烧烤！烤苕皮3元一个，外皮软糯，内馅脆爽，一口封神！,美食侦探,小贝饿了,喜欢各地美食的小伙伴们这里集合！【海口】海大南门夜市：BV1ci4y137hi【西安】58元小龙虾自助：BV1mp4y1i7HV【西安】抱盆吃的麻辣烫：BV13z4y1U74K【广州】汉堡免单挑战：BV1La411c7Ps 【唐山】牛蛙面免单挑战：BV1U54y167oz 【广州】广州强记早茶：BV18t4y1k7Th,26483,2516,1798,1886,https://b23.tv/BV1Tf4y1n7Rk
雷神池氪金的千层套路，你中了几个？原神开服玩家生存现状~,网络游戏,亚食人,你可以把策划这次雷神的设计当做是福利，毕竟3命就拥有了大数字伤害完全体。也可以看做成一次算计  毕竟3命就拥有了大数字伤害完全体。还有一个自欺欺人的氪金借口忘了说，那就是：就这一次，这一次的雷神氪了，以后再也不氪了，雷神用到关服。PS：为了求稳，所以文案中采用的是四十多国这种说法...,34346,6394,2871,1689,https://b23.tv/BV1mM4y1G73b
情侣一起睡觉的危害！,短片·手书·配音,小蓝和他的朋友日常号,-,13050,550,2302,16543,https://b23.tv/BV1L44y1h7Yi
战斗之夜研究生导师抓学生打游戏惊悚现场,日常,力学渣,-,72702,6798,2992,6064,https://b23.tv/BV1yM4y1G7XN
瑞文戴尔的朋友圈,网络游戏,八百个分身的你哦,当前版本瑞文戴尔的朋友圈,9641,5661,1826,4735,https://b23.tv/BV1bf4y1P7xr
老师到底能有多倔？,搞笑,Thurman猫一杯,-,49192,2597,4677,1589,https://b23.tv/BV1cg41157n7
【自制动画】“时间要开始加速了！”,短片·手书·配音,微笑Fortune,爆肝自制动画  “簇拥我上天堂的，正是乔斯达家的血脉！”喜欢的点个赞，很是感谢！这便是天堂制造！石之海片段。,13875,4029,3502,478,https://b23.tv/BV1zQ4y1r72r
每日一遍，永远陪你过夏天。【日食记夏日合辑】,美食制作,日食记,微博大号@日食记微博小号＠姜老刀微信公众号：日食记文字菜谱见视频末尾,34127,7246,3658,1801,https://b23.tv/BV1RL411x7ko
【丞相司徒】给我一首歌的时间,人力VOCALOID,惜缘、过去,文 艺 复 兴,66437,63896,22291,3699,https://b23.tv/BV11q4y1N79Y
你的喵娘女仆生气了该怎么哄！HMPH |夜喵,明星舞蹈,夜喵w,那当然是三连啦~❤舞蹈音乐 宇宙少女CHOCOME小分队 HMPH微博 -大熊夜喵-摄影 @比比嘻  后期 @衣杏setsuna ,14266,4162,17483,654,https://b23.tv/BV12M4y1G7dJ
【医学博士】如何治疗鼻炎？I 让鼻炎患者，重获新生的方法,科学科普,兔叭咯,终于赶在周末完成了！按照这个视频一步步去做，肯定会缓解你的鼻炎！我们从机制讲到治疗再到根除的方法都讲了一遍，希望大家都能有所收货。Peace您可能还喜欢：【打呼噜】：BV1DL4y1h7u7【人体工学椅】BV1xq4y1Z798【改善肤色】BV1cL4y1e7LT【保护听力】：BV1xL411E75c【胖瘦体质】：BV1W44y117UC【失眠自救】：BV1EQ4y1f7Ar,94168,37742,40853,20958,https://b23.tv/BV1iM4y1G7MM
我的‘素人改造’惊现男嘉宾啦！！,美妆护肤,壶提提,-,50161,11374,7469,6919,https://b23.tv/BV1F44y1b758
观棋有语141：中美关系的压舱石会被搬掉吗？,社科·法律·心理,席亚洲,今天我们讨论的话题包括：俄罗斯、伊朗等国先后表示不参加塔利班“开国大典”，我们呢？美国参联会主席因“私下与中国沟通”受到国内压力，中美关系“最后的压舱石”是否会动摇？美国股市会不会崩盘？老胡说军机要飞过台湾岛，真的？关于货拉拉案，咱们再说几句美团“强迫小哥注册个体户”真有此事？如果有，会怎样？,5177,1644,715,125,https://b23.tv/BV1RQ4y1r75j
在饿死之前 简简单单吃份肥牛麻辣拌,美食记录,假美食po主,谢谢大家的支持喜欢和鼓励,78026,21065,7446,2915,https://b23.tv/BV1gq4y1f7Wp
特别定档——2021原神生日会,手机游戏,果蝇轰,这一年旅途的感动，希望与你分享。2021原神生日会将于2021年9月25日晚上9点与大家见面。视频制作@喵太社  预告文案-果蝇轰封面绘图@樱花的蛋蛋,69144,15009,10218,5482,https://b23.tv/BV1KL411x7kP
野王孙膑，暴力切C,电子竞技,魔巅峰,野王孙膑，重新定义精准切C,24183,2021,1811,519,https://b23.tv/BV19L4y1h7uN
瓜 啦 啦 小 魔 仙,人力VOCALOID,城之悠二,麻烦看一下简介，谢谢,33364,9394,8807,3820,https://b23.tv/BV1544y1h7Cc
【李玉刚自投稿】《赤伶》2021交响乐版官方MV发布～,MV,李玉刚,没有哪个时代像当下这般，河清海晏，万物当春；没有哪个时代像如今这样，人民为主，奋发昂扬。因此，我们将原来的悲歌换作盛世之歌，以全新方式再度演绎这首新时代颂歌。在建党百年之际，《赤伶》2021交响乐版由共青团中央宣传部发起，“万疆三部曲”系列之一献礼十一国庆。歌曲由李建衡作曲、原作者清彦重新填词，知名音乐人关天天操刀制作！国风音乐的基调是中华民族宝贵的文化传统，纯真的童声则代表着未来与希望。相信中华儿女无论身在何方，都会尽自己的一份绵薄之力，为祖国建设谱写新的篇章。,171357,159811,71155,19122,https://b23.tv/BV17Q4y1y7kt
【一拳超人第三季动态漫画】01.众S级英雄就位，饿狼对战龙级怪人波奇惊现超燃场面！！！,综合,马达尬尬,不好意思啊各位久等了，第一集量很大，大家忍一下如果觉得还行就支持下啦：推荐、硬币、收藏、分享，尽管招呼啊,17539,22403,5891,1602,https://b23.tv/BV1X34y1S7bd
告诉男朋友，我全身都是假的…会发生什么？,美妆护肤,宝剑嫂,好久不见的美妆视频！！想努力让美妆视频有趣一点，如果喜欢就多多一键三连给我一点支持吧！点赞6w，带胖哥穿上假肌肉，我穿上假臀去健身！,315112,31536,10645,4499,https://b23.tv/BV13Q4y1r7Z5
S11最全前瞻！LPL今年有机会战胜LCK吗？,电子竞技,LPL战术小黑板,khan明年来LPL吧！,38373,4914,1767,684,https://b23.tv/BV1jQ4y1y7Eh
“卧槽！他太敢说了！”,明星,爱睡觉的_Koala,,147615,16966,15457,1533,https://b23.tv/BV1wf4y1n7Ci
危！被女友发现电脑里的“秘密文件”？这次真凉了…,搞笑,盖里老哥,写真整蛊升级版！,86328,19420,4249,3193,https://b23.tv/BV1SL4y1h7hj
【翻唱】团魂炸裂！YG公开BLACKPINK四人版LALISA？,翻唱,是小光芒呀神秘组织,录制：亦惟恩 之子 宙斯 丸子后期：铨总视频：丽丽tip：只模仿唱腔，不模仿声线消音伴奏请见谅,31109,16698,13223,5169,https://b23.tv/BV1vq4y1Z7YN
陈晓看不见？李晨醉了没？  蔡依林-《舞娘》舞蹈翻跳,舞蹈综合,比熊比熊小,摄影：十曲后期：十曲剪辑：比熊音乐：蔡依林-舞娘舞蹈参考：BV1Rb411r7Uw、                 BV1Ft411b7Jw,8290,1715,8564,312,https://b23.tv/BV1Ch411H71s
大学生自制短片《舌尖上的宿舍》,短片,虚拟小吴,天津师范大学环境设计专业的大四学生，这是我第一次尝试拍摄短片，从2020年十月到2021年六月大概断断续续总共拍了七天左右，从高中起就一直有模仿《舌尖上的中国》的想法，这个小目标终于在大学完成。想通过此视频来记录自己的大学生活，希望朋友们可以多多指教，喜欢的话给个一键三连。,25024,21017,7138,3158,https://b23.tv/BV1Lf4y1n7rW
【摆脱颓废】每天10min快速唤醒身体恢复状态 | 改善不良体态,健身,Luke爱健身,"上半身：胸 颈 背 三头 肩 腹部下半身：臀 股四 股二  内收肌",2275,1233,4335,152,https://b23.tv/BV1W44y1b7og
网络喷子为啥变多了？,社科·法律·心理,有轶见的Kris,Why does everybody get angry so easily?,15485,5031,3391,952,https://b23.tv/BV1zQ4y1y7Sm
天天领现金800块有多难?我办新手机号助力会成功吗？,搞笑,大胡子魏,有一说一，虽然也恰他家饭，但是这个领现金是真难，太难了，比我上次砍手机都难,27965,6189,1772,5162,https://b23.tv/BV1v34y1Q7ma
价值10万元大抽奖来啦！极客湾200万粉丝福利...,数码,极客湾Geekerwan,200万粉丝纪念，我们这次送一波大的！你想要CPU？显卡？笔记本电脑？路由器？电竞屏？总价值10万元，我们全送给你！就看你有没有欧气抽到了……16号周四晚上8点，记得来转我们抽奖动态！感谢英特尔、AMD和华硕对我们的大力支持！,69952,47518,16350,16833,https://b23.tv/BV1XU4y1P7sD
凌晨5点，破防实录,手机游戏,宝贝虎,"压垮我的最后一根稻草大概反而是身上负担最轻的东西吧我所期望变好的东西，自己并不想变好，我是傻*，我不配爱fgo",5752,3616,896,447,https://b23.tv/BV1z3411272c
【见盘】165：西厂厂花大战魔法少女，警官老陈的艺术人生,搞笑,小见见Zz,见盘为当下时事热点，游戏，主播内容相关。 关注微信公众号见盘，合作邮箱：bd@shidatui.com 合作VX：shidatuimcn,18997,3101,1690,570,https://b23.tv/BV12b4y127iG
【星罗说书】《吞噬星空》原著小说全本解读！480万字一口气看完！,国产原创相关,星罗宫,吞噬星空全本小说精讲,2955,2644,3100,91,https://b23.tv/BV1dU4y1w7jZ
王一博出道七周年快乐！当下正少年，未来皆可“7”,明星,YIBO-OFFICIAL,,15775,14534,7245,4309,https://b23.tv/BV1cb4y1m78g
雷神时代开启，原神未来规划，新旧角色交锋,手机游戏,里番鉴赏家,专栏后天开始制作,4016,1705,827,1758,https://b23.tv/BV14341127UC
吓坏飙车党,喵星人,大佬白白白,微博,32364,1048,10877,7052,https://b23.tv/BV1pf4y1P7SX
MAMAMOO新曲mumumumuch MV公开,MV,pcyxjy,yt,12105,1282,3789,1893,https://b23.tv/BV1rQ4y1k7j5
【战锤全面战争3】首部震旦天朝宣传片！龙帝之女vs织命者卡洛斯,单机游戏,战争游戏研究所,能给我飙姐来个中文配音吗？本月还会有震旦长垣机制与新攻城模式的解析，关注战研，敬请期待！,14493,1937,3024,6257,https://b23.tv/BV1x3411q7vs
【迎新】给新学妹搬行李，结果。。。。。,搞笑,三木东-,哈哈,85377,1494,2916,5382,https://b23.tv/BV1Vv411w7U2
听说这段音频会让你家猫回忆起自己在古埃及被崇拜的岁月,喵星人,internet-boy,微博@internet-garcon-pdf听说这段音频会让你家猫回忆起自己在古埃及被崇拜的岁月,25208,797,14021,6329,https://b23.tv/BV1iA411F7Ki
这套打法，我愿意称之为——恶心妈妈给恶心开门【哈利波特：魔法觉醒】,手机游戏,小怪和BOSS,emmm，打到首席发现用t0卡组根本打不过氪佬了。。。。。。于是，jojo，我不做人了这个打发是从海格保蛋流变来的，昨天无意中发现决斗超过4秒会自动扣血，加上之前开盾站桩输出巨蛛森林和打人柳的经验，开发出了这样一个玩法。。。核心就是保卡姐，然后苟，苟到4分钟后自动扣血，咱们就可以靠奶和加速回魔赢得比赛，emm，恶心的一批，我遇到好几个氪佬，最后都挂机了核心是保卡姐，用白鲜统统加护保阵地，然后用闪电清掉一些比较烦的后场，emm，其他看个人吧，可以带雷鸟，或者鸟蛇。哦对了说一声，那个幻影移形一定要带，不,18232,3930,15501,20915,https://b23.tv/BV1Mq4y1f72Q
为了小羊不受狗狗的欺负。给小羊做了一对不锈钢畸角,极客DIY,手工耿,-,150767,17549,5167,5539,https://b23.tv/BV1U44y1t7iB
搬新家了，胖龙叫上几个朋友，在大院子烧烤，真惬意！,美食记录,胖龙的小生活,搬新家了，胖龙叫上几个朋友，在大院子烧烤，真惬意！,18095,5769,597,176,https://b23.tv/BV1Zq4y1N77X
改编版的《错位时空》绝了，比原版更有生命力，看我中华盛世！,音乐综合,子鱼Music,改编版的《错位时空》绝了，比原版更有生命力，看我中华盛世！,25158,16098,10565,1681,https://b23.tv/BV1pA411F7tB
/如果小鸟变成少女/procreat绘画（第一部）,绘画,我是鹿溟山,-,22692,1388,5842,626,https://b23.tv/BV1Xg411V7mx
硬核挑战，两“型男”竟敌不过“柔弱”女嘉宾？,日常,小缸和阿灿,省流助手：帅小伙为穿粉色jk，竟然故意输掉挑战！,21928,9081,1938,298,https://b23.tv/BV1134y1S7fm
48300点券开箱-云顶水墨丹青我全都要大礼包！,电子竞技,我是TOO,Q群468568662 可以捉到活的UP,25517,8107,854,107,https://b23.tv/BV1oU4y1w7xh
【3000粉回馈】亲手组一把带音乐律动的键盘送给你们~,数码,Luke小北,键盘套件是首席玩家的无缺轴体是G黄  键帽是首席玩家的果冻白键帽	希望大家可以给我个一键三连  爱你们  ~,2194,3669,1803,125,https://b23.tv/BV1R341117uH
20岁，不要去西藏！！！,日常,洛舟止,一个耗时半个月花费2W元的视频 希望大家能喜欢后续继续滚回游戏区 继续填坑去了,90356,58619,28888,19700,https://b23.tv/BV1KU4y1N7dC
就离谱！上班迟到就算了，为什么手里居然还有杯咖啡啊？,社科·法律·心理,啊Sai在纽约,-,22081,2404,6183,1252,https://b23.tv/BV1p64y1h72m
喝奶茶、刷视频、打游戏？你不自律，真没关系！【武志红】,社科·法律·心理,武志红讲心理,你不必每分每秒都高效地活着。,9054,3431,4281,1985,https://b23.tv/BV1kU4y1P7hj
钓鱼穷三年是有道理的,日常,黄河故道野钓小李哥,-,43899,8002,17368,20980,https://b23.tv/BV16q4y1Z7c5
坦诚相待！看看我又买了哪些好登西！,美妆护肤,达达达布溜-,护肤类白茶身体乳珀莱雅双抗精华*视黄醇眼霜hfp果酸泥膜至本肌底液真丽斯洗面奶*彩妆类kilala美瞳*江原道粉底液3ce口红 新款植村秀丝绸 新款holika #8holika #11家居食品酒推荐合集ucc黑咖啡菲诺厚椰乳复古卡片苏泊尔小型电压力锅珐琅锅纳米棉签konikoni洗脸巾,18142,2678,2767,105,https://b23.tv/BV1XL4y1b7rr
再穿一次看看好了！（无营养 慎点,日常,紫菜蛋花兔兔,-,87710,9303,9344,2103,https://b23.tv/BV1Dq4y1Z7Zg
说 唱 正 规 军,鬼畜调教,倒悬的橘子,"不下载反诈APP，你就别跟我打PK（水一稿,19号大唐gang2.0！prod by MR.nine",112138,32744,15559,3445,https://b23.tv/BV1Eq4y1N7Fp
街边铁板面，人均15满满都是料，老板诚不欺我。 无广试吃员/美食探店,美食侦探,小紧张的虫虫,铁板牛排吃过，吃铁板面还是第一次！店里人均15，满满都是料～～,61890,20691,4564,1334,https://b23.tv/BV1Zq4y1Z7m4
